artist_name,artist_ranking
Paramore,1
Motionless In White,2
Bring Me The Horizon,3
Pierce The Veil,4
Sleeping With Sirens,5
The Used,6
Ice Nine Kills,7
Bad Omens,8
The Red Jumpsuit Apparatus,9
Ludwig van Beethoven,10
NOTHING MORE,11
Against The Current,12
Spiritbox,13
Caskets,14
Flyleaf,15
John Mayer,16
Bullet For My Valentine,17
I Prevail,18
Breaking Benjamin,19
Of Mice & Men,20
Get Scared,21
Icon For Hire,22
Linkin Park,23
Avril Lavigne,24
Sum 41,25
Drake,26
A Day To Remember,27
Memphis May Fire,28
Polaris,29
Evanescence,30
My Chemical Romance,31
Mac Miller,32
Conquer Divide,33
Deftones,34
We Came As Romans,35
Avenged Sevenfold,36
Three Days Grace,37
Tonight Alive,38
In This Moment,39
The Plot In You,40
Lil Uzi Vert,41
Lil Baby,42
Escape the Fate,43
Future Palace,44
Architects,45
42 Dugg,46
Kanye West,47
Tame Impala,48
Poppy,49
Dark Divine,51
Crown The Empire,52
From Ashes to New,53
Falling In Reverse,54
Rain City Drive,55
Point North,56
Chevelle,57
Seether,58
TOOL,59
Yours Truly,60
Papa Roach,61
YoungBoy Never Broke Again,62
Nirvana,63
Reliqa,64
Dance Gavin Dance,65
Daedric,66
Trivium,67
Rise Against,68
Yeat,69
I See Stars,70
Fall Out Boy,71
Catch Your Breath,72
Currents,73
Slipknot,74
Hardwell,75
If Not For Me,76
ENMY,77
Lil Peep,78
Radiohead,79
Wind Walkers,80
Green Day,81
Zedd,82
Playboi Carti,83
DJ Khaled,84
Skrillex,85
While She Sleeps,86
Story Of The Year,87
TX2,88
Foo Fighters,89
All Time Low,90
Hoobastank,91
The Pretty Reckless,92
Cassyette,93
Logic,94
David Guetta,95
blink-182,96
Jimmy Eat World,97
First and Forever,98
Black Veil Brides,99
Wage War,100
SLAVES,102
Korn,103
Attack Attack!,104
10 Years,105
Saint Asonia,106
Chrissy Costanza,107
Lana Del Rey,108
Sleep Theory,109
Asking Alexandria,110
Yellowcard,111
As December Falls,113
Metallica,114
Kendrick Lamar,116
Dragged Under,117
Disturbed,118
Soulja Boy,119
RedHook,120
Northlane,121
All That Remains,122
Sleep Token,123
Gusttavo Lima,124
As Everything Unfolds,125
Led Zeppelin,126
deadmau5,127
XXXTENTACION,128
thrown,129
Jane's Addiction,130
Dr. Dre,131
A Perfect Circle,132
Destroy Rebuild Until God Shows,134
Silent Planet,135
System Of A Down,136
Lil Wayne,137
Lil Durk,138
Taylor Swift,139
The Beatles,140
Stand Atlantic,141
Silverstein,142
Halestorm,143
Holding Absence,145
Thrice,147
Apocalyptica,148
Beartooth,149
Eminem,150
Killswitch Engage,151
Set It Off,152
JAY-Z,153
Savage Hands,154
Crystal Castles,156
Ozzy Osbourne,157
Imminence,158
Attila,159
Kevin Sherwood,160
Mayday Parade,161
Janos Sebestyen,162
Nicky Romero,163
My Darkest Days,164
Azealia Banks,165
DaBaby,166
STARSET,167
The All-American Rejects,168
Future,169
The Amity Affliction,170
Sugarcult,171
Juanes,172
Shallowsky,173
Our Promise,174
Nine Inch Nails,175
Audioslave,176
The Word Alive,177
Panic! At The Disco,178
Post Malone,179
Migos,180
The Home Team,181
The Killers,182
Mario Judah,183
Magnolia Park,185
The Smiths,187
Wolfgang Amadeus Mozart,188
Kingdom Of Giants,190
ILLENIUM,191
Kodak Black,192
Ski Mask The Slump God,193
Britney Spears,194
Dream State,195
Archers,196
Bush,197
Lacey Sturm,198
Travis Scott,199
Swedish House Mafia,200
Leonard Bernstein,201
Chief Keef,202
Benjamin Frith,203
Make Them Suffer,205
Incubus,206
Underoath,207
ALESTI,208
Gucci Mane,209
The Notorious B.I.G.,212
King Von,213
Godsmack,214
Hayley Williams,215
Volbeat,216
Pantera,219
Limp Bizkit,220
Elena Siegman,221
Måneskin,222
FEVER 333,223
Sexyy Red,224
Stone Sour,227
The Pretty Wild,228
Anberlin,229
J. Cole,230
VENUES,231
New Years Day,232
The Black Keys,233
Nickelback,234
The Offspring,235
Ghost,237
PSY,238
Dayseeker,239
Martin Garrix,240
100 gecs,241
The Material,242
The Cure,243
Light The Torch,244
Jack Wall,246
R.E.M.,247
Third Eye Blind,248
6ix9ine,249
Lake Malice,250
Marshmello,251
Miss May I,252
The Funeral Portrait,253
Kid Cudi,254
Versus Me,255
Hot Milk,256
There For Tomorrow,257
Vana,258
Jason Derulo,259
Blameshift,260
AURORA,262
Testament,263
Lilmar,265
Mitski,267
Blueface,268
Los Tigres Del Norte,269
Five Finger Death Punch,271
Bad Wolves,273
senses,274
Nevertel,275
Envoi,276
Acres,277
LANDMVRKS,278
Ed Sheeran,279
Fit For A King,280
Mastodon,282
FLOYA,283
Will Sparks,284
The Warning,286
Alice In Chains,287
Butcher Babies,288
Siamese,289
Lø Spirit,290
Red Hot Chili Peppers,291
Nerv,292
You Me At Six,293
Avicii,294
James McCawley,295
Ty Dolla $ign,297
Parkway Drive,298
Windwaker,299
Of Virtue,300
NOVELISTS,302
Fire From The Gods,303
Annisokay,304
Knocked Loose,305
Sakoya,307
New Medicine,309
Colorblind,310
The Haunt,311
HELLYEAH,312
SAVE US,313
The Ghost Inside,314
PVRIS,315
Shinedown,316
Awaken I Am,318
Juice WRLD,319
Senses Fail,320
Soundgarden,321
Calvin Harris,322
blessthefall,323
Ellie Goulding,324
Megan Thee Stallion,325
Drowning Pool,326
Loveless,327
The Cab,328
Simple Plan,329
Lil Tjay,331
Dimitri Vegas & Like Mike,332
Ottorino Respighi,333
The Devil Wears Prada,334
Honey Revenge,335
Fit For Rivals,336
"Tyler, The Creator",337
Good Charlotte,339
NLE Choppa,341
AFI,343
Saosin,344
Zero 9:36,345
Too Close To Touch,347
Atreyu,348
We The Kings,349
Alter Bridge,350
Black Sabbath,351
Felix Mendelssohn,352
Maddix,353
Paul McCartney,355
Roddy Ricch,357
Self Deception,359
Fame on Fire,360
Rage Against The Machine,361
New Found Glory,362
Alfred Brendel,363
Memory of a Melody,364
Cascada,365
Hawthorne Heights,366
Trapt,367
Quintino,368
Written by Wolves,369
Pop Evil,370
ERRA,372
GHØSTKID,373
W&W,374
Pet Shop Boys,375
Young Dolph,376
Skillet,377
NOFX,378
Alexisonfire,379
NWYR,380
VOILÀ,383
AVOID,384
S3RL,385
Dada Life,386
Any Given Sin,387
Destroy Lonely,388
A Skylit Drive,390
Marilyn Manson,391
Tiësto,392
Softspoken,393
League of Legends,394
Coping Method,395
ScHoolboy Q,397
Baby Keem,398
Ekoh,399
Tee Grizzley,401
Paloma,402
Trippie Redd,403
Uamee,404
DJ Blyatman,406
Red Sun Rising,407
"Chunk! No, Captain Chunk!",408
MGMT,409
Trash Boat,410
BOYS LIKE GIRLS,412
Dal Av,413
Our Mirage,414
FOVOS,415
Harper,416
VIOLENT VIRA,417
Mudvayne,418
elijah,420
Waterparks,422
LMFAO,423
Crossfade,424
Tears For Fears,425
August Burns Red,428
Victims Aren't We All,429
ONI,430
The Story So Far,431
Ankor,432
Foster The People,433
Metro Boomin,434
Not Enough Space,436
Alexander Kniazev,437
Ocean Grove,438
Dead Eyes,441
David Bowie,442
We Are The In Crowd,443
Lang Lang,445
Meek Mill,446
Cobra Starship,447
Tory Lanez,448
Sixx:A.M.,449
Jack Johnson,450
In Her Own Words,451
Twenty One Pilots,452
T-Pain,453
N.W.A.,454
Tigress,455
Finch,456
The Exies,458
A Light Divided,459
Thousand Foot Krutch,461
Revnoir,462
robbietheused,463
Deadlands,464
YG,467
Quavo,468
Muse,469
Taking Back Sunday,471
Charlotte Sands,472
Money Man,473
Famous Last Words,474
Thirty Seconds To Mars,478
Armin van Buuren,479
Mötley Crüe,480
Flo Rida,481
Cologne Chamber Orchestra,482
2 Chainz,483
Megadeth,485
Gorillaz,486
Only The Family,487
Matchbox Twenty,488
Lil Tecca,491
Boston Manor,492
Solence,493
Staind,494
BABYMETAL,495
Amira Elfeky,496
Mike Dimes,497
Childish Gambino,498
The Narrator,499
Billy Idol,500
JayDaYoungan,501
No Doubt,502
Dream on Dreamer,503
Kami Kehoe,506
Highly Suspect,507
The Goo Goo Dolls,509
Puddle Of Mudd,511
Bayside,513
Lifehouse,515
1takejay,518
Kayzo,519
Pendulum,520
Flux Pavilion,521
NAV,522
Jack Harlow,523
Andromida,524
French Montana,525
Slayer,526
Andy Black,527
The Alchemist,528
Adelitas Way,529
Nas,530
Anti-Flag,532
Offset,533
Finger Eleven,534
Evans Blue,535
Thousand Below,536
Frank Ocean,537
Clairo,538
Dirty Heads,539
NGHTMRE,540
XS Project,542
Wiz Khalifa,543
Fleetwood Mac,544
Pretenders,545
WARGASM (UK),548
Electric Callboy,550
AS IT IS,551
Joji,552
Ken Carson,553
WILLOW,554
We Are The Fallen,557
Until I Wake,558
Chiodos,559
Rezz,560
Young Thug,561
In Flames,562
Omar Apollo,563
Mikel,564
Fetty Wap,565
Theory of a Deadman,566
Aerosmith,567
Hollywood Undead,568
Bad Religion,569
Rob Zombie,570
Daft Punk,571
Emmure,572
As I Lay Dying,573
Doja Cat,574
Lamb of God,575
State Champs,576
Coheed and Cambria,578
