track_name,artist_name,track_duration,track_popularity,track_release_date,track_explicit,artist_popularity,artist_follower_count,artist_ranking,artist_freq,genre_metalcore,genre_post-hardcore,genre_emo,genre_pop_punk,genre_screamo,genre_metal,genre_classical,genre_classical_piano,genre_alternative_metal,genre_rock,genre_chamber_music,genre_deathcore,genre_post-grunge,genre_rap_metal,genre_djent,genre_nu_metal,genre_punk,genre_rap,genre_christian_rock,genre_edm,genre_hard_rock,genre_progressive_metal,actual,predicted
Heartbreak Warfare,John Mayer,269,67,200911,0,79,6181996,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blood Meridian,The Used,165,21,202109,0,64,1276098,6,95,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
A Rash Decision,Ice Nine Kills,211,52,202110,0,67,1112695,7,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Carry the Weight,We Came As Romans,229,57,201909,0,64,918355,35,25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
on the verge,thrown,134,66,202408,1,57,191118,129,15,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Vicious Love (feat. Hayley Williams),New Found Glory,197,55,201510,0,61,887788,362,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
I Get It,Chevelle,234,59,200704,0,70,2037419,57,18,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Better Off This Way,A Day To Remember,206,60,201011,0,72,2488997,27,43,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
You're Going Down,SICK PUPPIES,187,66,201001,1,57,961335,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Entregador de Flor - Ao Vivo em Brasília,Diego & Victor Hugo,190,84,201907,0,78,3499654,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bleed Me Dry,Memphis May Fire,202,17,202202,0,62,924053,28,52,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Drug In Me Is You,Falling In Reverse,218,76,201107,1,76,3963547,54,36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
High Hopes,Yours Truly,231,52,201801,0,44,92460,60,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Fiction,Avenged Sevenfold,307,57,201007,0,79,11081124,36,29,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Blood & Water,Memphis May Fire,230,22,202202,0,62,924053,28,52,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ain't It Fun,Paramore,296,80,201304,0,82,9474638,1,104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Perfect World,Catch Your Breath,194,53,202409,1,64,216967,72,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Clean Cut Heals,The Used,171,26,202004,0,64,1276098,6,95,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
I'm Gonna Find Another You,John Mayer,163,56,200609,0,79,6181996,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Glass Houses,Bad Omens,240,63,201608,1,74,1757840,8,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Longview,Green Day,233,70,199402,1,84,16760567,81,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
America,Motionless In White,217,51,201211,1,70,1910079,2,88,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"I'm Made Of Wax, Larry, What Are You Made Of?",A Day To Remember,180,67,200902,0,72,2488997,27,43,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Neon,John Mayer,262,60,200108,0,79,6181996,16,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",Ludwig van Beethoven,167,16,201001,0,73,5626271,10,165,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Holding on to Smoke,Motionless In White,254,53,201906,1,70,1910079,2,88,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bloody Creature Poster Girl,In This Moment,260,48,201411,0,63,1411114,39,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Angel Eyes (feat. Chris Motionless),New Years Day,176,49,201306,1,45,294518,232,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Forget About Me,Escape the Fate,184,44,201305,0,63,1427783,43,33,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Everything You Wanted,If Not For Me,211,45,202403,0,48,55150,76,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anklebiters,Paramore,137,54,201304,0,82,9474638,1,104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Hypochondria,Dragged Under,229,47,202011,0,43,64663,117,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pretty On The Outside,Bullet For My Valentine,235,51,201004,0,69,3400427,17,63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Unstoppable,Motionless In White,207,44,201409,1,70,1910079,2,88,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
No Apologies,Papa Roach,188,55,202204,0,76,5850504,61,28,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Around the Fur,Deftones,211,71,199710,1,82,7040227,34,12,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
DArkSide,Bring Me The Horizon,164,62,202310,1,80,6451295,3,73,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Final Say,Caskets,270,50,202108,0,61,209521,14,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Everybody’s Fool - Remastered 2023,Evanescence,195,45,202311,0,78,5651192,30,56,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Petrichor,Cassyette,243,57,202109,0,51,125940,93,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
No More Tears To Cry,Bullet For My Valentine,221,50,202205,1,69,3400427,17,63,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Famous Last Words,My Chemical Romance,299,77,200610,0,81,9823059,31,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Face Me,The Plot In You,208,58,202109,0,66,545636,40,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Justify,The Red Jumpsuit Apparatus,208,49,200601,0,65,1491980,9,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
IDWT$,Bad Omens,202,60,202202,0,74,1757840,8,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kool-Aid,Bring Me The Horizon,228,71,202405,1,80,6451295,3,73,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Disappear (Feat. Lynn Gunn),Tonight Alive,222,40,201801,0,48,338130,38,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Partners in Crime (feat. Ash Costello),Set It Off,211,72,201306,0,66,1096575,152,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pick Your Poison,Chrissy Costanza,172,47,202410,0,59,80448,107,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Breaking & Entering,Tonight Alive,212,37,201110,0,48,338130,38,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Just The Way You Are,Pierce The Veil,223,59,201111,0,77,3583033,4,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Warpaint,Of Mice & Men,208,40,202310,1,61,1354909,20,28,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Paradise Lost, a poem by John Milton",The Used,167,40,202004,0,64,1276098,6,95,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Turn It Off,Paramore,259,58,200909,0,82,9474638,1,104,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Feeding the Gods,Wind Walkers,182,60,202311,1,61,94369,80,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Give 'Em Hell, Kid",My Chemical Romance,138,65,200406,0,81,9823059,31,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Stabbing In The Dark,Ice Nine Kills,276,61,201810,1,67,1112695,7,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
May These Noises Startle You In Your Sleep Tonight,Pierce The Veil,81,63,201207,1,77,3583033,4,50,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Numb,Sleep Theory,215,63,202303,0,67,299601,109,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I Don't Care - Single Version,Fall Out Boy,214,65,200812,0,81,11306194,71,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Call You Out,Flyleaf,139,55,201201,0,64,1415610,15,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Don't Stay,Linkin Park,187,62,200303,0,91,30373947,23,38,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
The Sharpest Lives,My Chemical Romance,200,69,200610,0,81,9823059,31,33,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Split,Currents,185,53,202006,0,61,300692,73,17,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
Breaking the Silence,Breaking Benjamin,181,55,201506,0,74,5021097,19,60,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Waiting,The Red Jumpsuit Apparatus,177,51,200601,0,65,1491980,9,65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
I Caught Fire,The Used,205,60,200409,0,64,1276098,6,95,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
